radar,metric,season,nights,years,first,last,p50,p70,p90,max,share_top10,lat,lon
frtra,mtr_night,autumn,592,7,2016-08-15,2022-10-19,1695.9,4141.1,11552.1,177884.3,0.6,48.8,2.0
frtre,mtr_night,spring,391,6,2017-02-15,2023-05-31,474.0,1554.6,3829.9,24673.4,0.5,47.3,-1.7
frtre,mtr_night,autumn,468,7,2016-10-04,2022-10-10,1495.9,3032.4,10869.6,103579.3,0.5,47.3,-1.7
frtro,mtr_night,spring,360,5,2017-02-17,2021-04-07,1296.7,3183.8,10236.2,225769.8,0.7,48.5,4.3
frtro,mtr_night,autumn,458,7,2016-08-15,2022-09-30,1854.3,4253.4,19289.7,146060.3,0.6,48.5,4.3
ptfar,mtr_night,spring,436,6,2019-02-27,2026-05-30,754.4,1273.1,2807.0,8615.0,0.4,37.3,-8.0
ptfar,mtr_night,autumn,431,7,2019-08-28,2026-08-30,942.1,2706.8,5801.1,19840.1,0.4,37.3,-8.0
ptflr,mtr_night,spring,72,1,2026-02-15,2026-05-30,817.8,1589.3,2909.8,5316.0,0.3,39.5,-31.2
ptlis,mtr_night,spring,195,4,2019-05-14,2026-05-31,1001.9,1800.6,3222.1,9309.7,0.3,39.1,-8.4
ptlis,mtr_night,autumn,269,6,2019-08-22,2026-08-30,1334.1,3736.6,8143.9,29629.7,0.4,39.1,-8.4
ptprt,mtr_night,spring,326,6,2019-05-04,2026-05-31,433.7,983.0,2359.0,15884.0,0.5,40.8,-8.3
ptprt,mtr_night,autumn,323,7,2019-09-03,2026-08-30,839.0,1595.8,3071.3,13248.7,0.4,40.8,-8.3
ptsmg,mtr_night,spring,82,1,2026-02-15,2026-05-31,450.2,1266.7,2819.5,14394.8,0.5,37.8,-25.8
pttrc,mtr_night,spring,158,3,2024-02-15,2026-05-28,379.4,801.3,2513.6,8260.4,0.4,38.7,-27.3
pttrc,mtr_night,autumn,63,3,2024-08-22,2026-08-27,364.9,831.0,1542.3,3010.3,0.4,38.7,-27.3
esahr,vid_night,spring,98,1,2026-02-15,2026-05-31,4.6,6.6,9.4,13.5,0.2,36.6,-4.7
esalm,vid_night,spring,408,5,2018-02-15,2023-05-18,0.4,1.4,3.2,7.5,0.4,36.8,-2.1
esalm,vid_night,autumn,455,6,2017-11-06,2022-11-30,0.8,2.0,3.6,8.0,0.3,36.8,-2.1
esbad,vid_night,spring,420,5,2018-02-16,2023-05-18,0.3,1.1,2.7,8.1,0.4,39.4,-6.3
esbad,vid_night,autumn,471,6,2017-11-06,2022-11-30,0.3,1.2,3.1,17.0,0.5,39.4,-6.3
esbar,vid_night,spring,408,5,2018-02-15,2023-05-18,0.3,2.0,4.1,10.0,0.4,41.4,1.9
esbar,vid_night,autumn,457,6,2017-11-06,2022-11-30,1.2,2.7,6.4,50.4,0.5,41.4,1.9
escor,vid_night,spring,337,4,2018-02-15,2021-05-30,0.0,0.7,1.5,5.4,0.5,43.2,-8.5
escor,vid_night,autumn,395,6,2017-11-06,2022-11-01,0.1,0.9,1.6,4.1,0.4,43.2,-8.5
esgld,vid_night,spring,103,1,2026-02-15,2026-05-31,7.6,9.5,12.1,15.2,0.2,41.4,1.9
eslid,vid_night,spring,414,5,2018-02-15,2023-05-18,1.0,2.2,4.6,15.7,0.4,42.0,-4.6
