city,season,doy_bin,doy_centre,nights,pred_mean,p_alert_mean,pred_q90,alert_q90,pred_q75,alert_q75,pred_q50,alert_q50
Toulouse,autumn,22,225,117,1.1237,0.1154,1.1852,0.2147,1.1653,0.1525,1.1207,0.0862
Toulouse,autumn,23,235,167,1.1231,0.1139,1.1837,0.2101,1.1632,0.1436,1.1206,0.0925
Toulouse,autumn,24,245,217,1.1112,0.1118,1.1784,0.2069,1.1501,0.1409,1.1125,0.0925
Toulouse,autumn,25,255,226,1.0972,0.1072,1.1746,0.1967,1.1445,0.1321,1.1052,0.0893
Toulouse,autumn,26,265,216,1.0810,0.1092,1.1658,0.1935,1.1320,0.1396,1.0937,0.0921
Toulouse,autumn,27,275,215,1.0711,0.1099,1.1606,0.1916,1.1243,0.1396,1.0743,0.0928
Toulouse,autumn,28,285,215,1.0635,0.1073,1.1623,0.1926,1.1181,0.1320,1.0623,0.0867
Toulouse,autumn,29,295,215,1.0374,0.0961,1.1593,0.1883,1.1109,0.1225,1.0466,0.0763
Toulouse,autumn,30,305,215,1.0056,0.0862,1.1644,0.1773,1.1068,0.1089,1.0161,0.0601
Toulouse,autumn,31,315,206,0.9455,0.0711,1.1689,0.1329,1.0796,0.0832,0.9701,0.0384
Toulouse,autumn,32,325,156,0.9081,0.0630,1.1605,0.1275,1.0393,0.0719,0.9180,0.0329
Toulouse,autumn,33,335,106,0.8495,0.0523,1.0946,0.1128,0.9725,0.0464,0.8529,0.0258
Valencia,spring,3,35,66,1.1276,0.0308,1.2761,0.0571,1.1956,0.0331,1.1277,0.0286
Valencia,spring,4,45,126,1.1638,0.0400,1.3175,0.0789,1.2536,0.0468,1.1769,0.0304
Valencia,spring,5,55,186,1.2314,0.0698,1.4089,0.1712,1.3431,0.1013,1.2314,0.0407
Valencia,spring,6,65,246,1.2644,0.0796,1.4605,0.1806,1.3774,0.1157,1.2701,0.0547
Valencia,spring,7,75,258,1.3121,0.0904,1.4968,0.1863,1.4073,0.1227,1.3176,0.0687
Valencia,spring,8,85,258,1.3486,0.1014,1.5075,0.1912,1.4413,0.1331,1.3568,0.0812
Valencia,spring,9,95,258,1.3697,0.1088,1.5205,0.2118,1.4654,0.1515,1.3829,0.0868
Valencia,spring,10,105,258,1.3731,0.1013,1.5176,0.1925,1.4748,0.1314,1.3867,0.0816
Valencia,spring,11,115,258,1.3942,0.1066,1.5211,0.2077,1.4816,0.1392,1.4067,0.0889
Valencia,spring,12,125,258,1.4059,0.1058,1.5254,0.2108,1.4853,0.1392,1.4244,0.0898
Valencia,spring,13,135,229,1.4133,0.1066,1.5225,0.2030,1.4868,0.1388,1.4276,0.0927
Valencia,spring,14,145,169,1.4185,0.1034,1.5274,0.1988,1.4937,0.1388,1.4350,0.0892
Valencia,spring,15,155,109,1.4208,0.1066,1.5311,0.2049,1.4952,0.1448,1.4466,0.0887
Valencia,autumn,22,225,117,1.3407,0.0658,1.4743,0.1204,1.3875,0.0714,1.3289,0.0519
Valencia,autumn,23,235,167,1.3431,0.0699,1.4846,0.1246,1.3870,0.0809,1.3370,0.0549
Valencia,autumn,24,245,217,1.3561,0.0766,1.5034,0.1467,1.4220,0.0953,1.3465,0.0603
Valencia,autumn,25,255,226,1.3705,0.0862,1.5480,0.1649,1.4460,0.1090,1.3592,0.0642
Valencia,autumn,26,265,216,1.4009,0.1039,1.5701,0.1913,1.4852,0.1286,1.3999,0.0845
Valencia,autumn,27,275,215,1.4134,0.1131,1.5847,0.2122,1.4986,0.1391,1.4268,0.0931
Valencia,autumn,28,285,215,1.4126,0.1213,1.5947,0.2422,1.5095,0.1504,1.4136,0.0953
Valencia,autumn,29,295,215,1.3911,0.1127,1.5695,0.2122,1.4837,0.1482,1.3874,0.0896
Valencia,autumn,30,305,215,1.3289,0.0967,1.5376,0.1914,1.4430,0.1327,1.3234,0.0725
Valencia,autumn,31,315,206,1.2596,0.0782,1.4855,0.1720,1.3758,0.1004,1.2496,0.0552
Valencia,autumn,32,325,156,1.2144,0.0623,1.4283,0.1327,1.3188,0.0808,1.2016,0.0405
Valencia,autumn,33,335,106,1.1438,0.0411,1.3076,0.0835,1.2148,0.0482,1.1242,0.0307
Valladolid,spring,3,35,66,1.0935,0.0266,1.3245,0.0610,1.2064,0.0320,1.0747,0.0160
Valladolid,spring,4,45,126,1.1570,0.0327,1.3953,0.0761,1.2589,0.0386,1.1524,0.0228
Valladolid,spring,5,55,186,1.2353,0.0552,1.5196,0.1303,1.3549,0.0756,1.2177,0.0346
Valladolid,spring,6,65,246,1.2936,0.0635,1.6590,0.1399,1.4420,0.0858,1.2762,0.0413
Valladolid,spring,7,75,258,1.3758,0.0741,1.7096,0.1593,1.5266,0.0969,1.3443,0.0512
Valladolid,spring,8,85,258,1.4519,0.0850,1.7576,0.1702,1.6553,0.1109,1.4389,0.0618
